Wall time,Step,Value
1607102936.44671,18,0.0
1607102943.254931,42,0.0
1607102944.115643,45,0.0
1607102947.278195,56,0.0
1607102951.53291,71,0.0
1607102952.391645,74,0.0
1607102958.086372,94,0.0
1607102975.494011,155,0.0
1607102976.359686,158,0.0
1607102978.951929,167,0.0
1607102996.88517,229,0.0
1607102998.339698,234,0.0
1607103004.401553,255,0.0
1607103005.870438,260,0.0
1607103007.911573,267,0.0
1607103009.641232,273,0.0
1607103019.767741,308,0.0
1607103020.353134,310,0.0
1607103022.689952,318,0.0
1607103031.099719,347,0.0
1607103036.903657,367,0.0
1607103052.641174,421,0.0
1607103052.932587,422,0.0
1607103058.768697,442,0.0
1607103064.000084,460,0.0
1607103068.082994,474,0.0
1607103086.110702,536,0.0
1607103093.963981,563,0.0
1607103098.604594,579,0.0
1607103100.653447,586,0.0
1607103100.942776,587,0.0
1607103110.574753,620,0.0
1607103114.672097,634,0.0
1607103116.990107,642,0.0
1607103118.473616,647,0.0
1607103119.051466,649,0.0
1607103122.560444,661,0.0
1607103125.482296,671,0.0
1607103137.907577,714,0.0
1607103140.262987,722,0.0
1607103142.651635,730,0.0
1607103150.185447,756,0.0
1607103152.792624,765,0.0
1607103153.971408,769,0.0
1607103154.561034,771,0.0
1607103158.645766,785,0.0
1607103159.22643,787,0.0
1607103161.232555,794,0.0
1607103163.567569,802,0.0
1607103165.294089,808,0.0
1607103173.476626,836,0.0
1607103194.813434,909,0.0
1607103204.474168,942,0.0
1607103205.360783,945,0.0
1607103210.373356,962,0.0
1607103212.99743,971,0.0
1607103213.288174,972,0.0
1607103215.063207,978,0.0
1607103215.355632,979,0.0
1607103216.809868,984,0.0
1607103222.330911,1002,0.0
1607103223.214311,1005,0.0
1607103225.852582,1014,0.0
1607103240.208603,1063,0.0
1607103241.07549,1066,0.0
1607103242.808774,1072,0.0
1607103244.554596,1078,0.0
1607103246.025877,1083,0.0
1607103248.94737,1093,0.0
1607103250.716007,1099,0.0
1607103252.200245,1104,0.0
1607103267.348168,1156,0.0
1607103268.80159,1161,0.0
1607103269.096304,1162,0.0
1607103274.322389,1180,0.0
1607103278.16555,1193,0.0
1607103281.980569,1206,0.0
1607103293.053271,1244,0.0
1607103297.997639,1261,0.0
1607103303.802638,1281,0.0
1607103307.616774,1294,0.0
1607103313.991163,1316,0.0
1607103314.870482,1319,0.0
1607103318.978805,1333,0.0
1607103320.145446,1337,0.0
1607103334.201135,1385,0.0
1607103336.27533,1392,0.0
1607103342.703306,1414,0.0
1607103346.195334,1426,0.0
1607103349.141192,1436,0.0
1607103357.939279,1466,0.0
1607103361.165927,1477,0.0
1607103363.500006,1485,0.0
1607103365.259946,1491,0.0
1607103374.593946,1523,0.0
1607103375.772868,1527,0.0
1607103383.074781,1552,0.0
1607103387.737745,1568,0.0
1607103388.030629,1569,0.0
1607103392.426403,1584,0.0
1607103393.60265,1588,0.0
1607103398.556278,1605,0.0
1607103408.797817,1640,0.0
1607103411.120924,1648,0.0
1607103416.943175,1668,0.0
1607103421.010963,1682,0.0
1607103423.635605,1691,0.0
1607103425.405146,1697,0.0
1607103426.884167,1702,0.0
1607103428.92804,1709,0.0
1607103431.586951,1718,0.0
1607103435.683038,1732,0.0
1607103436.277252,1734,0.0
1607103437.148706,1737,0.0
1607103439.782609,1746,0.0
1607103449.980764,1781,0.0
1607103456.987712,1805,0.0
1607103463.137768,1826,0.0
1607103468.436194,1844,0.0
1607103471.044355,1853,0.0
1607103474.825455,1866,0.0
1607103475.707465,1869,0.0
1607103478.083942,1877,0.0
1607103489.823972,1917,0.0
1607103494.820882,1934,0.0
1607103497.727995,1944,0.0
1607103498.599386,1947,0.0
1607103504.44353,1967,0.0
1607103509.085288,1983,0.0
1607103514.649302,2001,0.0
1607103518.140044,2013,0.0
1607103523.096214,2030,0.0
1607103524.84458,2036,0.0
1607103531.803164,2060,0.0
1607103535.585908,2073,0.0
1607103536.471236,2076,0.0
1607103536.764913,2077,0.0
1607103539.097487,2085,0.0
1607103540.275892,2089,0.0
1607103542.313918,2096,0.0
1607103556.618749,2145,0.0
1607103557.789418,2149,0.0
1607103559.835688,2156,0.0
1607103562.470255,2165,0.0
1607103568.862016,2187,0.0
1607103570.027716,2191,0.0
1607103572.340892,2199,0.0
1607103574.686858,2207,0.0
1607103575.862673,2211,0.0
1607103581.712162,2231,0.0
1607103583.167801,2236,0.0
1607103583.464118,2237,0.0
1607103584.90815,2242,0.0
1607103588.40851,2254,0.0
1607103589.278132,2257,0.0
1607103590.756805,2262,0.0
1607103596.290427,2281,0.0
1607103600.948086,2297,0.0
1607103603.852,2307,0.0
1607103607.416597,2319,0.0
1607103615.014977,2345,0.0
1607103617.652099,2354,0.0
1607103627.878071,2389,0.0
1607103628.168556,2390,0.0
1607103628.754461,2392,0.0
1607103641.591794,2436,0.0
1607103643.933018,2444,0.0
1607103646.566499,2453,0.0
1607103647.161934,2455,0.0
1607103648.62987,2460,0.0
1607103655.893408,2485,0.0
1607103656.185078,2486,0.0
1607103659.111451,2496,0.0
1607103659.694241,2498,0.0
1607103661.15492,2503,0.0
1607103665.3065,2517,0.0
1607103667.043747,2523,0.0
1607103669.659445,2532,0.0
1607103674.00554,2547,0.0
1607103675.738251,2553,0.0
1607103689.507745,2600,0.0
1607103691.252565,2606,0.0
1607103696.27877,2623,0.0
1607103698.045896,2629,0.0
1607103712.389264,2678,0.0
1607103714.452838,2685,0.0
1607103715.89724,2690,0.0
1607103719.684998,2703,0.0
1607103730.523791,2740,0.0
1607103734.617546,2754,0.0
1607103744.844455,2789,0.0
1607103768.975976,2872,0.0
1607103771.621501,2881,0.0
1607103774.279121,2890,0.0
1607103776.02174,2896,0.0
1607103783.032826,2920,0.0
1607103796.702655,2967,0.0
1607103799.007116,2975,0.0
1607103809.815178,3011,0.0
1607103814.487445,3027,0.0
1607103815.382466,3030,0.0
1607103817.743765,3038,0.0
1607103818.627126,3041,0.0
1607103825.684665,3065,0.0
1607103826.847695,3069,0.0
1607103835.604842,3099,0.0
1607103846.690638,3137,0.0
1607103851.957893,3155,0.0
1607103853.720083,3161,0.0
1607103858.391667,3177,0.0
1607103863.680457,3195,0.0
1607103863.969912,3196,0.0
1607103873.949401,3230,0.0
1607103876.903747,3240,0.0
1607103877.78187,3243,0.0
1607103878.082495,3244,0.0
1607103878.66291,3246,0.0
1607103878.958999,3247,0.0
1607103886.217598,3272,0.0
1607103895.890573,3305,0.0
1607103907.554193,3345,0.0
1607103916.587528,3376,0.0
1607103924.484689,3403,0.0
1607103925.940811,3408,0.0
1607103932.344489,3430,0.0
1607103937.907903,3449,0.0
1607103942.264335,3464,0.0
1607103946.918071,3480,0.0
1607103955.419138,3509,0.0
1607103956.300492,3512,0.0
1607103963.545557,3537,0.0
1607103971.157242,3563,0.0
1607103976.132339,3580,0.0
